n_sites,j,g,m,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation
3,1.0,0.5,0.5,0.4,5,2.0,electric_density,exact,0.1612957101846699,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.4,5,2.0,electric_density,trotter1,0.09820802384940844,0.06308768633526146,0.39226365937207525,0.15387077846397146,6.661338147750939e-16
3,1.0,0.5,0.5,0.4,5,2.0,electric_density,trotter2,0.09820802384940855,0.06308768633526135,0.14225605644165912,0.020236785594332507,3.3306690738754696e-16
3,1.0,0.5,0.5,0.2,10,2.0,electric_density,exact,0.1612957101846699,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.2,10,2.0,electric_density,trotter1,0.14541202944447373,0.015883680740196165,0.17632768386119496,0.03109145209585351,2.220446049250313e-16
3,1.0,0.5,0.5,0.2,10,2.0,electric_density,trotter2,0.14541202944447368,0.01588368074019622,0.034441788387274214,0.001186236787313777,4.440892098500626e-16
3,1.0,0.5,0.5,0.1,20,2.0,electric_density,exact,0.1612957101846699,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.1,20,2.0,electric_density,trotter1,0.15732880330990695,0.003966906874762949,0.08333006080045427,0.006943899033007406,1.1842378929335002e-15
3,1.0,0.5,0.5,0.1,20,2.0,electric_density,trotter2,0.15732880330990698,0.003966906874762921,0.008535351313534185,7.285222204544972e-05,3.7007434154171886e-16
3,1.0,0.5,0.5,0.05,40,2.0,electric_density,exact,0.1612957101846699,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.05,40,2.0,electric_density,trotter1,0.1603043934548951,0.0009913167297747882,0.04049876307822141,0.0016401498108659096,2.6645352591003757e-15
3,1.0,0.5,0.5,0.05,40,2.0,electric_density,trotter2,0.1603043934548961,0.000991316729773789,0.002129077783880662,4.53297220981419e-06,9.325873406851315e-15
3,1.0,0.5,0.5,0.025,80,2.0,electric_density,exact,0.1612957101846699,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.025,80,2.0,electric_density,trotter1,0.16104790906014677,0.00024780112452313374,0.019963855380623785,0.0003985555216584613,1.1324274851176597e-14
3,1.0,0.5,0.5,0.025,80,2.0,electric_density,trotter2,0.16104790906014532,0.00024780112452457703,0.0005319709422622613,2.8299308341139806e-07,2.6645352591003757e-15
3,1.0,1.0,0.5,0.4,5,2.0,electric_density,exact,0.8234153802397582,0.0,0.0,0.0,5.921189464667501e-16
3,1.0,1.0,0.5,0.4,5,2.0,electric_density,trotter1,0.8329517162901656,0.009536336050407379,0.4250890208771476,0.18070067567029202,4.440892098500626e-16
3,1.0,1.0,0.5,0.4,5,2.0,electric_density,trotter2,0.8329517162901657,0.00953633605040749,0.15319871168954557,0.02346984526333651,4.440892098500626e-16
3,1.0,1.0,0.5,0.2,10,2.0,electric_density,exact,0.8234153802397582,0.0,0.0,0.0,5.921189464667501e-16
3,1.0,1.0,0.5,0.2,10,2.0,electric_density,trotter1,0.8269852931810138,0.0035699129412555264,0.2070687641465312,0.04287747308517176,2.220446049250313e-16
3,1.0,1.0,0.5,0.2,10,2.0,electric_density,trotter2,0.8269852931810135,0.0035699129412553043,0.033855610628253756,0.0011462023710119285,7.401486830834377e-17
3,1.0,1.0,0.5,0.1,20,2.0,electric_density,exact,0.8234153802397582,0.0,0.0,0.0,5.921189464667501e-16
3,1.0,1.0,0.5,0.1,20,2.0,electric_density,trotter1,0.8243186017216398,0.0009032214818815998,0.10012840600340382,0.010025697688782476,3.700743415417188e-17
3,1.0,1.0,0.5,0.1,20,2.0,electric_density,trotter2,0.824318601721639,0.0009032214818807116,0.008208821013949466,6.738474243905834e-05,5.181040781584064e-16
3,1.0,1.0,0.5,0.05,40,2.0,electric_density,exact,0.8234153802397582,0.0,0.0,0.0,5.921189464667501e-16
3,1.0,1.0,0.5,0.05,40,2.0,electric_density,trotter1,0.8236411056681946,0.0002257254284363519,0.049060469469843354,0.0024069296646014315,1.9984014443252818e-15
3,1.0,1.0,0.5,0.05,40,2.0,electric_density,trotter2,0.8236411056681934,0.00022572542843513066,0.00203659708154147,4.147727672543233e-06,1.3322676295501878e-15
3,1.0,1.0,0.5,0.025,80,2.0,electric_density,exact,0.8234153802397582,0.0,0.0,0.0,5.921189464667501e-16
3,1.0,1.0,0.5,0.025,80,2.0,electric_density,trotter1,0.8234717956717453,5.641543198708909e-05,0.02426637679149529,0.0005888570425868211,7.105427357601002e-15
3,1.0,1.0,0.5,0.025,80,2.0,electric_density,trotter2,0.8234717956717369,5.64154319786514e-05,0.0005081789348563098,2.5824582983169364e-07,4.218847493575595e-15
3,1.0,1.5,0.5,0.4,5,2.0,electric_density,exact,1.1105641950517289,0.0,0.0,0.0,0.0
3,1.0,1.5,0.5,0.4,5,2.0,electric_density,trotter1,0.9307965001512813,0.17976769490044753,0.6385206804346025,0.40770865934266787,8.881784197001252e-16
3,1.0,1.5,0.5,0.4,5,2.0,electric_density,trotter2,0.9307965001512812,0.17976769490044764,0.23544484048616143,0.055434272911554006,9.992007221626409e-16
3,1.0,1.5,0.5,0.2,10,2.0,electric_density,exact,1.1105641950517289,0.0,0.0,0.0,0.0
3,1.0,1.5,0.5,0.2,10,2.0,electric_density,trotter1,1.0668047702362569,0.043759424815472014,0.28607822350559614,0.08184074996411783,1.4802973661668753e-16
3,1.0,1.5,0.5,0.2,10,2.0,electric_density,trotter2,1.0668047702362573,0.04375942481547157,0.05368673556792488,0.0028822655759402904,1.1102230246251565e-15
3,1.0,1.5,0.5,0.1,20,2.0,electric_density,exact,1.1105641950517289,0.0,0.0,0.0,0.0
