n_sites,j,g,m,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation
4,1.0,1.0,0.5,0.4,5,2.0,h_hop_density,exact,0.28960145041051666,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.4,5,2.0,h_hop_density,trotter1,0.047767169301667384,0.24183428110884927,0.5145430282980707,0.2647545279701492,4.163336342344337e-16
4,1.0,1.0,0.5,0.4,5,2.0,h_hop_density,trotter2,0.20862403380164726,0.0809774166088694,0.1896318204111494,0.03596022731244641,5.551115123125783e-16
4,1.0,1.0,0.5,0.2,10,2.0,h_hop_density,exact,0.28960145041051666,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.2,10,2.0,h_hop_density,trotter1,0.15951328628262224,0.13008816412789442,0.252319303893727,0.06366503111741495,1.0547118733938987e-15
4,1.0,1.0,0.5,0.2,10,2.0,h_hop_density,trotter2,0.26778252619580434,0.02181892421471232,0.04221571296519057,0.001782166421159359,6.661338147750939e-16
4,1.0,1.0,0.5,0.1,20,2.0,h_hop_density,exact,0.28960145041051666,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.1,20,2.0,h_hop_density,trotter1,0.2297928665889629,0.05980858382155377,0.1217243879228171,0.014816826615184464,2.7755575615628914e-17
4,1.0,1.0,0.5,0.1,20,2.0,h_hop_density,trotter2,0.284111157442243,0.005490292968273636,0.01025085760851563,0.00010508008171006278,2.4702462297909733e-15
4,1.0,1.0,0.5,0.05,40,2.0,h_hop_density,exact,0.28960145041051666,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.05,40,2.0,h_hop_density,trotter1,0.261610127709009,0.02799132270150767,0.059560320206808334,0.0035474317431375413,6.772360450213455e-15
4,1.0,1.0,0.5,0.05,40,2.0,h_hop_density,trotter2,0.288227644758253,0.0013738056522636377,0.002544098078503408,6.472435033044732e-06,4.6629367034256575e-15
