n_sites,j,g,m,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation
3,1.0,0.5,0.5,0.4,5,2.0,staggered_magnetization,exact,0.2786873035848868,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.4,5,2.0,staggered_magnetization,trotter1,0.18766059244655756,0.09102671113832925,0.39226365937207525,0.15387077846397146,6.661338147750939e-16
3,1.0,0.5,0.5,0.4,5,2.0,staggered_magnetization,trotter2,0.18766059244655764,0.09102671113832916,0.14225605644165912,0.020236785594332507,3.3306690738754696e-16
3,1.0,0.5,0.5,0.2,10,2.0,staggered_magnetization,exact,0.2786873035848868,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.2,10,2.0,staggered_magnetization,trotter1,0.25408375119610316,0.024603552388783645,0.17632768386119496,0.03109145209585351,2.220446049250313e-16
3,1.0,0.5,0.5,0.2,10,2.0,staggered_magnetization,trotter2,0.2540837511961032,0.02460355238878359,0.034441788387274214,0.001186236787313777,4.440892098500626e-16
3,1.0,0.5,0.5,0.1,20,2.0,staggered_magnetization,exact,0.2786873035848868,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.1,20,2.0,staggered_magnetization,trotter1,0.2724477865273645,0.0062395170575222925,0.08333006080045427,0.006943899033007406,1.1842378929335002e-15
3,1.0,0.5,0.5,0.1,20,2.0,staggered_magnetization,trotter2,0.2724477865273641,0.006239517057522681,0.008535351313534185,7.285222204544972e-05,3.7007434154171886e-16
3,1.0,0.5,0.5,0.05,40,2.0,staggered_magnetization,exact,0.2786873035848868,0.0,0.0,0.0,7.401486830834377e-17
3,1.0,0.5,0.5,0.05,40,2.0,staggered_magnetization,trotter1,0.2771222938643445,0.0015650097205422986,0.04049876307822141,0.0016401498108659096,2.6645352591003757e-15
3,1.0,0.5,0.5,0.05,40,2.0,staggered_magnetization,trotter2,0.27712229386434606,0.0015650097205407443,0.002129077783880662,4.53297220981419e-06,9.325873406851315e-15
3,1.0,0.5,0.5,0.025,80,2.0,staggered_magnetization,exact,0.2786873035848868,0.0,0.0,0.0,7.401486830834377e-17
