n_sites,j,g,m,initial_state,t_target,observable_name,method,metric,slope,prefactor,points
3,1.0,0.5,0.5,neel_x,0.5,h_hop_density,trotter1,observable_error,1.1643227400859562,1.0212568418648,5
3,1.0,0.5,0.5,neel_x,0.5,h_hop_density,trotter1,state_error,1.0571332046823159,0.9822670308396539,5
3,1.0,0.5,0.5,neel_x,0.5,h_hop_density,trotter2,observable_error,2.1531100354924333,0.3516773520347119,5
3,1.0,0.5,0.5,neel_x,0.5,h_hop_density,trotter2,state_error,2.047332834843158,0.5704950637091588,5
3,1.0,0.5,0.5,neel_x,1.0,h_hop_density,trotter1,observable_error,1.3275326368808518,0.10940352273413,5
3,1.0,0.5,0.5,neel_x,1.0,h_hop_density,trotter1,state_error,1.0542590659683628,0.9531045648728058,5
3,1.0,0.5,0.5,neel_x,1.0,h_hop_density,trotter2,observable_error,3.5738951832270467,0.27369602350132727,5
3,1.0,0.5,0.5,neel_x,1.0,h_hop_density,trotter2,state_error,2.0274680379182115,0.6957305397385022,5
3,1.0,0.5,0.5,neel_x,2.0,h_hop_density,trotter1,observable_error,1.233353372030454,0.12348399064393127,5
3,1.0,0.5,0.5,neel_x,2.0,h_hop_density,trotter1,state_error,1.0866893456189999,1.0483665420455444,5
3,1.0,0.5,0.5,neel_x,2.0,h_hop_density,trotter2,observable_error,1.8577919733443697,0.05696048985978499,5
3,1.0,0.5,0.5,neel_x,2.0,h_hop_density,trotter2,state_error,2.020937428177757,0.9047557727083981,5
3,1.0,0.5,0.5,neel_x,4.0,h_hop_density,trotter1,observable_error,1.0718926930322465,0.2100082622374584,5
3,1.0,0.5,0.5,neel_x,4.0,h_hop_density,trotter1,state_error,1.1511196053186652,1.271011920637168,5
3,1.0,0.5,0.5,neel_x,4.0,h_hop_density,trotter2,observable_error,1.7355150112642919,0.12989826298396526,5
3,1.0,0.5,0.5,neel_x,4.0,h_hop_density,trotter2,state_error,2.024374382817834,1.5384263998962255,5
3,1.0,0.5,0.5,uniform_x,0.5,h_hop_density,trotter1,observable_error,1.11150822972385,0.6326177210866826,5
3,1.0,0.5,0.5,uniform_x,0.5,h_hop_density,trotter1,state_error,1.0480360046881763,0.6750608440103746,5
3,1.0,0.5,0.5,uniform_x,0.5,h_hop_density,trotter2,observable_error,2.1034026536679424,0.16392455929780403,5
3,1.0,0.5,0.5,uniform_x,0.5,h_hop_density,trotter2,state_error,2.0439347642107952,0.3665949225108187,5
3,1.0,0.5,0.5,uniform_x,1.0,h_hop_density,trotter1,observable_error,1.2186363668843199,0.353113355573228,5
3,1.0,0.5,0.5,uniform_x,1.0,h_hop_density,trotter1,state_error,1.0591672649107993,0.6701971103231025,5
3,1.0,0.5,0.5,uniform_x,1.0,h_hop_density,trotter2,observable_error,2.136266274852399,0.09716347160202464,5
3,1.0,0.5,0.5,uniform_x,1.0,h_hop_density,trotter2,state_error,2.0290611111490597,0.3857923927811435,5
3,1.0,0.5,0.5,uniform_x,2.0,h_hop_density,trotter1,observable_error,0.9035236945239448,0.27860411859420525,5
3,1.0,0.5,0.5,uniform_x,2.0,h_hop_density,trotter1,state_error,1.0311252888582974,0.6636289882269815,5
3,1.0,0.5,0.5,uniform_x,2.0,h_hop_density,trotter2,observable_error,1.712028444286182,0.04083954373004735,5
3,1.0,0.5,0.5,uniform_x,2.0,h_hop_density,trotter2,state_error,2.0350221145145015,0.5973047871011811,5
3,1.0,0.5,0.5,uniform_x,4.0,h_hop_density,trotter1,observable_error,1.7371350226539568,0.5150401530145862,5
3,1.0,0.5,0.5,uniform_x,4.0,h_hop_density,trotter1,state_error,1.1556286339423376,0.9303035045986842,5
3,1.0,0.5,0.5,uniform_x,4.0,h_hop_density,trotter2,observable_error,2.110013850868592,0.37183253105063496,5
3,1.0,0.5,0.5,uniform_x,4.0,h_hop_density,trotter2,state_error,2.0376380833478693,0.9726903577995786,5
3,1.0,0.5,0.5,domain_wall_x,0.5,h_hop_density,trotter1,observable_error,1.1115082297238474,0.6326177210866804,5
3,1.0,0.5,0.5,domain_wall_x,0.5,h_hop_density,trotter1,state_error,1.0480360046878157,0.6750608440100248,5
3,1.0,0.5,0.5,domain_wall_x,0.5,h_hop_density,trotter2,observable_error,2.1034026536679256,0.16392455929780209,5
3,1.0,0.5,0.5,domain_wall_x,0.5,h_hop_density,trotter2,state_error,2.0439347642007966,0.3665949225083182,5
3,1.0,0.5,0.5,domain_wall_x,1.0,h_hop_density,trotter1,observable_error,1.2186363668843114,0.35311335557322354,5
3,1.0,0.5,0.5,domain_wall_x,1.0,h_hop_density,trotter1,state_error,1.0591672649110715,0.670197110323315,5
3,1.0,0.5,0.5,domain_wall_x,1.0,h_hop_density,trotter2,observable_error,2.1362662748502137,0.09716347160174624,5
3,1.0,0.5,0.5,domain_wall_x,1.0,h_hop_density,trotter2,state_error,2.0290611111573487,0.3857923927827684,5
3,1.0,0.5,0.5,domain_wall_x,2.0,h_hop_density,trotter1,observable_error,0.9035236945239533,0.27860411859420886,5
3,1.0,0.5,0.5,domain_wall_x,2.0,h_hop_density,trotter1,state_error,1.0311252888583853,0.6636289882270066,5
3,1.0,0.5,0.5,domain_wall_x,2.0,h_hop_density,trotter2,observable_error,1.7120284442887457,0.040839543730187,5
3,1.0,0.5,0.5,domain_wall_x,2.0,h_hop_density,trotter2,state_error,2.035022114294695,0.5973047869143032,5
3,1.0,0.5,0.5,domain_wall_x,4.0,h_hop_density,trotter1,observable_error,1.7371350226538753,0.5150401530145221,5
3,1.0,0.5,0.5,domain_wall_x,4.0,h_hop_density,trotter1,state_error,1.1556286339429043,0.9303035045992823,5
3,1.0,0.5,0.5,domain_wall_x,4.0,h_hop_density,trotter2,observable_error,2.1100138508662494,0.37183253104948905,5
3,1.0,0.5,0.5,domain_wall_x,4.0,h_hop_density,trotter2,state_error,2.0376380833505947,0.9726903578008876,5
3,1.0,1.0,0.5,neel_x,0.5,h_hop_density,trotter1,observable_error,1.2122034254309721,1.255243903428569,5
3,1.0,1.0,0.5,neel_x,0.5,h_hop_density,trotter1,state_error,1.0356462059185325,1.2657790630860863,5
3,1.0,1.0,0.5,neel_x,0.5,h_hop_density,trotter2,observable_error,2.129845028518209,0.06403689633794687,5
3,1.0,1.0,0.5,neel_x,0.5,h_hop_density,trotter2,state_error,2.060993007690233,0.7241800241590185,5
