n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,h_hop_density,exact,0.49355294088335366,0.0,0.0,0.0,4.440892098500626e-16,0.5677707907266073,0.8155813347460568,0.28388539536330365,0.2038953336865142
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,h_hop_density,trotter1,-6.938893903907228e-18,0.49355294088335366,0.48561802688925854,0.23582486803981662,5.181040781584064e-16,0.5677707907266073,0.8155813347460568,0.28388539536330365,0.2038953336865142
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,h_hop_density,trotter2,0.40291474899861623,0.09063819188473743,0.14426941841423152,0.020813665089580602,6.661338147750939e-16,0.5677707907266073,0.8155813347460568,0.28388539536330365,0.2038953336865142
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,h_hop_density,exact,0.49355294088335366,0.0,0.0,0.0,4.440892098500626e-16,0.5677707907266073,0.8155813347460568,0.14194269768165182,0.05097383342162855
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,h_hop_density,trotter1,0.3012009694447104,0.19235197143864324,0.2224793128649575,0.04949704465286364,4.440892098500626e-16,0.5677707907266073,0.8155813347460568,0.14194269768165182,0.05097383342162855
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,h_hop_density,trotter2,0.47767547636990726,0.015877464513446404,0.03216161470430475,0.0010343694603881515,5.551115123125783e-16,0.5677707907266073,0.8155813347460568,0.14194269768165182,0.05097383342162855
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,h_hop_density,exact,0.49355294088335366,0.0,0.0,0.0,4.440892098500626e-16,0.5677707907266073,0.8155813347460568,0.07097134884082591,0.012743458355407137
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,h_hop_density,trotter1,0.40875197911882305,0.08480096176453061,0.10644198058754116,0.01132989523139849,4.440892098500626e-16,0.5677707907266073,0.8155813347460568,0.07097134884082591,0.012743458355407137
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,h_hop_density,trotter2,0.4899255639923222,0.0036273768910314863,0.007836808537362757,6.141556805128179e-05,2.220446049250313e-16,0.5677707907266073,0.8155813347460568,0.07097134884082591,0.012743458355407137
3,1.0,0.5,0.5,neel_x,0.5,0.0625,8,0.5,h_hop_density,exact,0.49355294088335366,0.0,0.0,0.0,4.440892098500626e-16,0.5677707907266073,0.8155813347460568,0.035485674420412956,0.0031858645888517842
3,1.0,0.5,0.5,neel_x,0.5,0.0625,8,0.5,h_hop_density,trotter1,0.4538336079882069,0.039719332895146786,0.0520529798813981,0.0027095127145332354,1.3322676295501878e-15,0.5677707907266073,0.8155813347460568,0.035485674420412956,0.0031858645888517842
