n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,electric_density,exact,0.3058365966916351,0.0,0.0,0.0,4.440892098500626e-16,0.6150822038112932,0.06431827713622781,0.3075411019056466,0.016079569284056953
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,electric_density,trotter1,0.27015115293406966,0.03568544375756544,0.48561802688925854,0.23582486803981662,5.181040781584064e-16,0.6150822038112932,0.06431827713622781,0.3075411019056466,0.016079569284056953
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,electric_density,trotter2,0.27015115293406966,0.03568544375756544,0.14426941841423152,0.020813665089580602,6.661338147750939e-16,0.6150822038112932,0.06431827713622781,0.3075411019056466,0.016079569284056953
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,electric_density,exact,0.3058365966916351,0.0,0.0,0.0,4.440892098500626e-16,0.6150822038112932,0.06431827713622781,0.1537705509528233,0.004019892321014238
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,electric_density,trotter1,0.2977513555199391,0.008085241171696012,0.2224793128649575,0.04949704465286364,4.440892098500626e-16,0.6150822038112932,0.06431827713622781,0.1537705509528233,0.004019892321014238
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,electric_density,trotter2,0.2977513555199391,0.008085241171696012,0.03216161470430475,0.0010343694603881515,5.551115123125783e-16,0.6150822038112932,0.06431827713622781,0.1537705509528233,0.004019892321014238
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,electric_density,exact,0.3058365966916351,0.0,0.0,0.0,4.440892098500626e-16,0.6150822038112932,0.06431827713622781,0.07688527547641165,0.0010049730802535596
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,electric_density,trotter1,0.3038550706205778,0.0019815260710572824,0.10644198058754116,0.01132989523139849,4.440892098500626e-16,0.6150822038112932,0.06431827713622781,0.07688527547641165,0.0010049730802535596
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,electric_density,trotter2,0.30385507062057787,0.001981526071057227,0.007836808537362757,6.141556805128179e-05,2.220446049250313e-16,0.6150822038112932,0.06431827713622781,0.07688527547641165,0.0010049730802535596
3,1.0,0.5,0.5,neel_x,0.5,0.0625,8,0.5,electric_density,exact,0.3058365966916351,0.0,0.0,0.0,4.440892098500626e-16,0.6150822038112932,0.06431827713622781,0.038442637738205825,0.0002512432700633899
