n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,mass_density,exact,0.2006104624250108,0.0,0.0,0.0,4.440892098500626e-16,1.1201498567434036,0.09999335772797924,0.5600749283717018,0.02499833943199481
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,mass_density,trotter1,0.14596329086321436,0.05464717156179644,0.48561802688925854,0.23582486803981662,5.181040781584064e-16,1.1201498567434036,0.09999335772797924,0.5600749283717018,0.02499833943199481
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,mass_density,trotter2,0.1459632908632143,0.05464717156179649,0.14426941841423152,0.020813665089580602,6.661338147750939e-16,1.1201498567434036,0.09999335772797924,0.5600749283717018,0.02499833943199481
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,mass_density,exact,0.2006104624250108,0.0,0.0,0.0,4.440892098500626e-16,1.1201498567434036,0.09999335772797924,0.2800374641858509,0.006249584857998702
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,mass_density,trotter1,0.18793867442469106,0.012671788000319734,0.2224793128649575,0.04949704465286364,4.440892098500626e-16,1.1201498567434036,0.09999335772797924,0.2800374641858509,0.006249584857998702
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,mass_density,trotter2,0.18793867442469103,0.012671788000319761,0.03216161470430475,0.0010343694603881515,5.551115123125783e-16,1.1201498567434036,0.09999335772797924,0.2800374641858509,0.006249584857998702
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,mass_density,exact,0.2006104624250108,0.0,0.0,0.0,4.440892098500626e-16,1.1201498567434036,0.09999335772797924,0.14001873209292545,0.0015623962144996756
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,mass_density,trotter1,0.19749009026741254,0.00312037215759825,0.10644198058754116,0.01132989523139849,4.440892098500626e-16,1.1201498567434036,0.09999335772797924,0.14001873209292545,0.0015623962144996756
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,mass_density,trotter2,0.1974900902674127,0.0031203721575980836,0.007836808537362757,6.141556805128179e-05,2.220446049250313e-16,1.1201498567434036,0.09999335772797924,0.14001873209292545,0.0015623962144996756
3,1.0,0.5,0.5,neel_x,0.5,0.0625,8,0.5,mass_density,exact,0.2006104624250108,0.0,0.0,0.0,4.440892098500626e-16,1.1201498567434036,0.09999335772797924,0.07000936604646273,0.0003905990536249189
3,1.0,0.5,0.5,neel_x,0.5,0.0625,8,0.5,mass_density,trotter1,0.19983318585248708,0.0007772765725237163,0.0520529798813981,0.0027095127145332354,1.3322676295501878e-15,1.1201498567434036,0.09999335772797924,0.07000936604646273,0.0003905990536249189
3,1.0,0.5,0.5,neel_x,0.5,0.0625,8,0.5,mass_density,trotter2,0.19983318585248694,0.0007772765725238551,0.001946963860146987,3.790668272718456e-06,7.771561172376096e-16,1.1201498567434036,0.09999335772797924,0.07000936604646273,0.0003905990536249189
3,1.0,0.5,0.5,neel_x,0.5,0.03125,16,0.5,mass_density,exact,0.2006104624250108,0.0,0.0,0.0,4.440892098500626e-16,1.1201498567434036,0.09999335772797924,0.03500468302323136,9.764976340622972e-05
3,1.0,0.5,0.5,neel_x,0.5,0.03125,16,0.5,mass_density,trotter1,0.20041631707558707,0.00019414534942371886,0.025737881610605116,0.0006624385498015251,1.0362081563168128e-15,1.1201498567434036,0.09999335772797924,0.03500468302323136,9.764976340622972e-05
3,1.0,0.5,0.5,neel_x,0.5,0.03125,16,0.5,mass_density,trotter2,0.20041631707558735,0.0001941453494234413,0.0004859832336100736,2.361797033501034e-07,1.6283271027835629e-15,1.1201498567434036,0.09999335772797924,0.03500468302323136,9.764976340622972e-05
3,1.0,0.5,0.5,neel_x,1.0,0.5,2,1.0,mass_density,exact,0.2063575320757138,0.0,0.0,0.0,3.3306690738754696e-16,1.1240740533890823,0.12517183561362472,0.5620370266945411,0.03129295890340618
3,1.0,0.5,0.5,neel_x,1.0,0.5,2,1.0,mass_density,trotter1,0.1582765012954107,0.0480810307803031,0.46957542078565917,0.22050107580602885,5.551115123125783e-16,1.1240740533890823,0.12517183561362472,0.5620370266945411,0.03129295890340618
3,1.0,0.5,0.5,neel_x,1.0,0.5,2,1.0,mass_density,trotter2,0.1582765012954106,0.04808103078030321,0.1748317583304184,0.030566143720905825,6.661338147750939e-16,1.1240740533890823,0.12517183561362472,0.5620370266945411,0.03129295890340618
3,1.0,0.5,0.5,neel_x,1.0,0.25,4,1.0,mass_density,exact,0.2063575320757138,0.0,0.0,0.0,3.3306690738754696e-16,1.1240740533890823,0.12517183561362472,0.28101851334727057,0.007823239725851545
3,1.0,0.5,0.5,neel_x,1.0,0.25,4,1.0,mass_density,trotter1,0.19359897263294917,0.012758559442764633,0.21788813318696684,0.047475238583701396,3.7007434154171886e-16,1.1240740533890823,0.12517183561362472,0.28101851334727057,0.007823239725851545
3,1.0,0.5,0.5,neel_x,1.0,0.25,4,1.0,mass_density,trotter2,0.193598972632949,0.0127585594427648,0.04103531098986493,0.0016838967480349298,5.181040781584064e-16,1.1240740533890823,0.12517183561362472,0.28101851334727057,0.007823239725851545
3,1.0,0.5,0.5,neel_x,1.0,0.125,8,1.0,mass_density,exact,0.2063575320757138,0.0,0.0,0.0,3.3306690738754696e-16,1.1240740533890823,0.12517183561362472,0.14050925667363529,0.001955809931462886
3,1.0,0.5,0.5,neel_x,1.0,0.125,8,1.0,mass_density,trotter1,0.20314515861361188,0.0032123734621019306,0.10421102839370859,0.01085993843887434,4.070817756958907e-16,1.1240740533890823,0.12517183561362472,0.14050925667363529,0.001955809931462886
3,1.0,0.5,0.5,neel_x,1.0,0.125,8,1.0,mass_density,trotter2,0.2031451586136119,0.003212373462101903,0.01009062235141456,0.00010182065943886709,3.7007434154171886e-16,1.1240740533890823,0.12517183561362472,0.14050925667363529,0.001955809931462886
3,1.0,0.5,0.5,neel_x,1.0,0.0625,16,1.0,mass_density,exact,0.2063575320757138,0.0,0.0,0.0,3.3306690738754696e-16,1.1240740533890823,0.12517183561362472,0.07025462833681764,0.0004889524828657215
3,1.0,0.5,0.5,neel_x,1.0,0.0625,16,1.0,mass_density,trotter1,0.20555333452947608,0.0008041975462377282,0.05090775344994476,0.0025915993613203625,2.220446049250313e-15,1.1240740533890823,0.12517183561362472,0.07025462833681764,0.0004889524828657215
3,1.0,0.5,0.5,neel_x,1.0,0.0625,16,1.0,mass_density,trotter2,0.20555333452947683,0.0008041975462369788,0.002512154744586887,6.310921460750407e-06,8.141635513917814e-16,1.1240740533890823,0.12517183561362472,0.07025462833681764,0.0004889524828657215
3,1.0,0.5,0.5,neel_x,1.0,0.03125,32,1.0,mass_density,exact,0.2063575320757138,0.0,0.0,0.0,3.3306690738754696e-16,1.1240740533890823,0.12517183561362472,0.03512731416840882,0.00012223812071643039
3,1.0,0.5,0.5,neel_x,1.0,0.03125,32,1.0,mass_density,trotter1,0.20615641842984944,0.00020111364586436475,0.025154296108163957,0.0006327386126971923,2.220446049250313e-15,1.1240740533890823,0.12517183561362472,0.03512731416840882,0.00012223812071643039
3,1.0,0.5,0.5,neel_x,1.0,0.03125,32,1.0,mass_density,trotter2,0.2061564184298496,0.00020111364586419822,0.0006273826767146517,3.9360902304164114e-07,3.4046839421838135e-15,1.1240740533890823,0.12517183561362472,0.03512731416840882,0.00012223812071643039
3,1.0,0.5,0.5,neel_x,2.0,0.5,4,2.0,mass_density,exact,0.1393436517924434,0.0,0.0,0.0,7.401486830834377e-17,1.397549672621161,0.0009565640164556429,0.6987748363105805,0.00023914100411391072
3,1.0,0.5,0.5,neel_x,2.0,0.5,4,2.0,mass_density,trotter1,0.07397440188100021,0.06536924991144319,0.5133468133805718,0.26352495080798755,7.031412489292658e-16,1.397549672621161,0.0009565640164556429,0.6987748363105805,0.00023914100411391072
3,1.0,0.5,0.5,neel_x,2.0,0.5,4,2.0,mass_density,trotter2,0.07397440188100023,0.06536924991144318,0.22689538804221762,0.05148151711482851,6.661338147750939e-16,1.397549672621161,0.0009565640164556429,0.6987748363105805,0.00023914100411391072
3,1.0,0.5,0.5,neel_x,2.0,0.25,8,2.0,mass_density,exact,0.1393436517924434,0.0,0.0,0.0,7.401486830834377e-17,1.397549672621161,0.0009565640164556429,0.34938741815529023,5.978525102847768e-05
3,1.0,0.5,0.5,neel_x,2.0,0.25,8,2.0,mass_density,trotter1,0.12035157161882226,0.01899208017362114,0.22660367236621373,0.05134922432985434,4.440892098500626e-16,1.397549672621161,0.0009565640164556429,0.34938741815529023,5.978525102847768e-05
3,1.0,0.5,0.5,neel_x,2.0,0.25,8,2.0,mass_density,trotter2,0.12035157161882235,0.018992080173621056,0.054159891848817164,0.002933293885075572,4.810966440042345e-16,1.397549672621161,0.0009565640164556429,0.34938741815529023,5.978525102847768e-05
3,1.0,0.5,0.5,neel_x,2.0,0.125,16,2.0,mass_density,exact,0.1393436517924434,0.0,0.0,0.0,7.401486830834377e-17,1.397549672621161,0.0009565640164556429,0.17469370907764512,1.494631275711942e-05
