n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,staggered_magnetization,exact,0.4012209248500216,0.0,0.0,0.0,4.440892098500626e-16,2.2402997134868072,0.19998671545595847,1.1201498567434036,0.04999667886398962
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,staggered_magnetization,trotter1,0.2919265817264287,0.10929434312359287,0.48561802688925854,0.23582486803981662,5.181040781584064e-16,2.2402997134868072,0.19998671545595847,1.1201498567434036,0.04999667886398962
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,staggered_magnetization,trotter2,0.2919265817264286,0.10929434312359299,0.14426941841423152,0.020813665089580602,6.661338147750939e-16,2.2402997134868072,0.19998671545595847,1.1201498567434036,0.04999667886398962
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,staggered_magnetization,exact,0.4012209248500216,0.0,0.0,0.0,4.440892098500626e-16,2.2402997134868072,0.19998671545595847,0.5600749283717018,0.012499169715997405
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,staggered_magnetization,trotter1,0.3758773488493821,0.025343576000639467,0.2224793128649575,0.04949704465286364,4.440892098500626e-16,2.2402997134868072,0.19998671545595847,0.5600749283717018,0.012499169715997405
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,staggered_magnetization,trotter2,0.37587734884938206,0.025343576000639523,0.03216161470430475,0.0010343694603881515,5.551115123125783e-16,2.2402997134868072,0.19998671545595847,0.5600749283717018,0.012499169715997405
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,staggered_magnetization,exact,0.4012209248500216,0.0,0.0,0.0,4.440892098500626e-16,2.2402997134868072,0.19998671545595847,0.2800374641858509,0.003124792428999351
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,staggered_magnetization,trotter1,0.3949801805348251,0.0062407443151965,0.10644198058754116,0.01132989523139849,4.440892098500626e-16,2.2402997134868072,0.19998671545595847,0.2800374641858509,0.003124792428999351
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,staggered_magnetization,trotter2,0.3949801805348254,0.006240744315196167,0.007836808537362757,6.141556805128179e-05,2.220446049250313e-16,2.2402997134868072,0.19998671545595847,0.2800374641858509,0.003124792428999351
3,1.0,0.5,0.5,neel_x,0.5,0.0625,8,0.5,staggered_magnetization,exact,0.4012209248500216,0.0,0.0,0.0,4.440892098500626e-16,2.2402997134868072,0.19998671545595847,0.14001873209292545,0.0007811981072498378
3,1.0,0.5,0.5,neel_x,0.5,0.0625,8,0.5,staggered_magnetization,trotter1,0.39966637170497415,0.0015545531450474326,0.0520529798813981,0.0027095127145332354,1.3322676295501878e-15,2.2402997134868072,0.19998671545595847,0.14001873209292545,0.0007811981072498378
3,1.0,0.5,0.5,neel_x,0.5,0.0625,8,0.5,staggered_magnetization,trotter2,0.3996663717049739,0.0015545531450477101,0.001946963860146987,3.790668272718456e-06,7.771561172376096e-16,2.2402997134868072,0.19998671545595847,0.14001873209292545,0.0007811981072498378
3,1.0,0.5,0.5,neel_x,0.5,0.03125,16,0.5,staggered_magnetization,exact,0.4012209248500216,0.0,0.0,0.0,4.440892098500626e-16,2.2402997134868072,0.19998671545595847,0.07000936604646273,0.00019529952681245945
