n_sites,j,g,m,initial_state,t_target,observable_name,method,metric,slope,prefactor,points
3,1.0,0.5,0.5,neel_x,0.5,total_energy_density,trotter1,observable_error,1.2183337220987855,1.2320936639055524,5
3,1.0,0.5,0.5,neel_x,0.5,total_energy_density,trotter1,state_error,1.0571332046823159,0.9822670308396539,5
3,1.0,0.5,0.5,neel_x,0.5,total_energy_density,trotter2,observable_error,2.0876237849898183,0.7090239465296531,5
3,1.0,0.5,0.5,neel_x,0.5,total_energy_density,trotter2,state_error,2.047332834843158,0.5704950637091588,5
3,1.0,0.5,0.5,neel_x,1.0,total_energy_density,trotter1,observable_error,1.943769830634675,0.5392505086561902,5
3,1.0,0.5,0.5,neel_x,1.0,total_energy_density,trotter1,state_error,1.0542590659683628,0.9531045648728058,5
3,1.0,0.5,0.5,neel_x,1.0,total_energy_density,trotter2,observable_error,2.0732014969814627,0.5773127751381245,5
3,1.0,0.5,0.5,neel_x,1.0,total_energy_density,trotter2,state_error,2.0274680379182115,0.6957305397385022,5
3,1.0,0.5,0.5,neel_x,2.0,total_energy_density,trotter1,observable_error,1.9331417206144952,0.7094298466671705,5
3,1.0,0.5,0.5,neel_x,2.0,total_energy_density,trotter1,state_error,1.0866893456189999,1.0483665420455444,5
3,1.0,0.5,0.5,neel_x,2.0,total_energy_density,trotter2,observable_error,2.0502419463875006,0.7160741470854611,5
3,1.0,0.5,0.5,neel_x,2.0,total_energy_density,trotter2,state_error,2.020937428177757,0.9047557727083981,5
3,1.0,0.5,0.5,neel_x,4.0,total_energy_density,trotter1,observable_error,1.3106103598247296,0.3001230974298123,5
3,1.0,0.5,0.5,neel_x,4.0,total_energy_density,trotter1,state_error,1.1511196053186652,1.271011920637168,5
3,1.0,0.5,0.5,neel_x,4.0,total_energy_density,trotter2,observable_error,2.1739906713601593,0.7272724869019955,5
3,1.0,0.5,0.5,neel_x,4.0,total_energy_density,trotter2,state_error,2.024374382817834,1.5384263998962255,5
3,1.0,0.5,0.5,uniform_x,0.5,total_energy_density,trotter1,observable_error,1.1497564679229266,0.7197516062914772,5
3,1.0,0.5,0.5,uniform_x,0.5,total_energy_density,trotter1,state_error,1.0480360046881763,0.6750608440103746,5
3,1.0,0.5,0.5,uniform_x,0.5,total_energy_density,trotter2,observable_error,2.071410594336494,0.3180386059851991,5
3,1.0,0.5,0.5,uniform_x,0.5,total_energy_density,trotter2,state_error,2.0439347642107952,0.3665949225108187,5
3,1.0,0.5,0.5,uniform_x,1.0,total_energy_density,trotter1,observable_error,1.2861781798667054,0.4507303173196356,5
3,1.0,0.5,0.5,uniform_x,1.0,total_energy_density,trotter1,state_error,1.0591672649107993,0.6701971103231025,5
3,1.0,0.5,0.5,uniform_x,1.0,total_energy_density,trotter2,observable_error,2.057080272395926,0.25411398493967013,5
3,1.0,0.5,0.5,uniform_x,1.0,total_energy_density,trotter2,state_error,2.0290611111490597,0.3857923927811435,5
3,1.0,0.5,0.5,uniform_x,2.0,total_energy_density,trotter1,observable_error,0.5090269230007235,0.08516629428609032,5
3,1.0,0.5,0.5,uniform_x,2.0,total_energy_density,trotter1,state_error,1.0311252888582974,0.6636289882269815,5
3,1.0,0.5,0.5,uniform_x,2.0,total_energy_density,trotter2,observable_error,2.081985737798967,0.34981646467084765,5
3,1.0,0.5,0.5,uniform_x,2.0,total_energy_density,trotter2,state_error,2.0350221145145015,0.5973047871011811,5
3,1.0,0.5,0.5,uniform_x,4.0,total_energy_density,trotter1,observable_error,1.7483657818991005,0.5677098475256507,5
3,1.0,0.5,0.5,uniform_x,4.0,total_energy_density,trotter1,state_error,1.1556286339423376,0.9303035045986842,5
3,1.0,0.5,0.5,uniform_x,4.0,total_energy_density,trotter2,observable_error,2.078134544793879,0.42739871307717636,5
3,1.0,0.5,0.5,uniform_x,4.0,total_energy_density,trotter2,state_error,2.0376380833478693,0.9726903577995786,5
3,1.0,0.5,0.5,domain_wall_x,0.5,total_energy_density,trotter1,observable_error,1.1497564679229204,0.7197516062914698,5
3,1.0,0.5,0.5,domain_wall_x,0.5,total_energy_density,trotter1,state_error,1.0480360046878157,0.6750608440100248,5
3,1.0,0.5,0.5,domain_wall_x,0.5,total_energy_density,trotter2,observable_error,2.071410594336622,0.3180386059852569,5
3,1.0,0.5,0.5,domain_wall_x,0.5,total_energy_density,trotter2,state_error,2.0439347642007966,0.3665949225083182,5
3,1.0,0.5,0.5,domain_wall_x,1.0,total_energy_density,trotter1,observable_error,1.2861781798667002,0.45073031731962954,5
3,1.0,0.5,0.5,domain_wall_x,1.0,total_energy_density,trotter1,state_error,1.0591672649110715,0.670197110323315,5
3,1.0,0.5,0.5,domain_wall_x,1.0,total_energy_density,trotter2,observable_error,2.057080272395297,0.25411398493945314,5
3,1.0,0.5,0.5,domain_wall_x,1.0,total_energy_density,trotter2,state_error,2.0290611111573487,0.3857923927827684,5
3,1.0,0.5,0.5,domain_wall_x,2.0,total_energy_density,trotter1,observable_error,0.5090269230007302,0.08516629428609107,5
3,1.0,0.5,0.5,domain_wall_x,2.0,total_energy_density,trotter1,state_error,1.0311252888583853,0.6636289882270066,5
3,1.0,0.5,0.5,domain_wall_x,2.0,total_energy_density,trotter2,observable_error,2.0819857377979885,0.3498164646703852,5
3,1.0,0.5,0.5,domain_wall_x,2.0,total_energy_density,trotter2,state_error,2.035022114294695,0.5973047869143032,5
3,1.0,0.5,0.5,domain_wall_x,4.0,total_energy_density,trotter1,observable_error,1.7483657818990568,0.5677098475255992,5
3,1.0,0.5,0.5,domain_wall_x,4.0,total_energy_density,trotter1,state_error,1.1556286339429043,0.9303035045992823,5
3,1.0,0.5,0.5,domain_wall_x,4.0,total_energy_density,trotter2,observable_error,2.078134544792548,0.4273987130764212,5
3,1.0,0.5,0.5,domain_wall_x,4.0,total_energy_density,trotter2,state_error,2.0376380833505947,0.9726903578008876,5
3,1.0,1.0,0.5,neel_x,0.5,total_energy_density,trotter1,observable_error,1.3091180641663578,1.772911033976801,5
3,1.0,1.0,0.5,neel_x,0.5,total_energy_density,trotter1,state_error,1.0356462059185325,1.2657790630860863,5
3,1.0,1.0,0.5,neel_x,0.5,total_energy_density,trotter2,observable_error,2.123924057454102,0.9730699546252635,5
