n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,total_energy_density,exact,0.9999999999999994,0.0,0.0,0.0,4.440892098500626e-16,1.16746126982809,0.8512564153378084,0.583730634914045,0.2128141038344521
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,total_energy_density,trotter1,0.416114443797284,0.5838855562027154,0.48561802688925854,0.23582486803981662,5.181040781584064e-16,1.16746126982809,0.8512564153378084,0.583730634914045,0.2128141038344521
3,1.0,0.5,0.5,neel_x,0.5,0.5,1,0.5,total_energy_density,trotter2,0.8190291927959001,0.1809708072040993,0.14426941841423152,0.020813665089580602,6.661338147750939e-16,1.16746126982809,0.8512564153378084,0.583730634914045,0.2128141038344521
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,total_energy_density,exact,0.9999999999999994,0.0,0.0,0.0,4.440892098500626e-16,1.16746126982809,0.8512564153378084,0.2918653174570225,0.053203525958613024
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,total_energy_density,trotter1,0.7868909993893407,0.21310900061065874,0.2224793128649575,0.04949704465286364,4.440892098500626e-16,1.16746126982809,0.8512564153378084,0.2918653174570225,0.053203525958613024
3,1.0,0.5,0.5,neel_x,0.5,0.25,2,0.5,total_energy_density,trotter2,0.9633655063145373,0.03663449368546212,0.03216161470430475,0.0010343694603881515,5.551115123125783e-16,1.16746126982809,0.8512564153378084,0.2918653174570225,0.053203525958613024
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,total_energy_density,exact,0.9999999999999994,0.0,0.0,0.0,4.440892098500626e-16,1.16746126982809,0.8512564153378084,0.14593265872851124,0.013300881489653256
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,total_energy_density,trotter1,0.9100971400068133,0.08990285999318615,0.10644198058754116,0.01132989523139849,4.440892098500626e-16,1.16746126982809,0.8512564153378084,0.14593265872851124,0.013300881489653256
3,1.0,0.5,0.5,neel_x,0.5,0.125,4,0.5,total_energy_density,trotter2,0.9912707248803128,0.008729275119686686,0.007836808537362757,6.141556805128179e-05,2.220446049250313e-16,1.16746126982809,0.8512564153378084,0.14593265872851124,0.013300881489653256
3,1.0,0.5,0.5,neel_x,0.5,0.0625,8,0.5,total_energy_density,exact,0.9999999999999994,0.0,0.0,0.0,4.440892098500626e-16,1.16746126982809,0.8512564153378084,0.07296632936425562,0.003325220372413314
3,1.0,0.5,0.5,neel_x,0.5,0.0625,8,0.5,total_energy_density,trotter1,0.9590103679989181,0.0409896320010813,0.0520529798813981,0.0027095127145332354,1.3322676295501878e-15,1.16746126982809,0.8512564153378084,0.07296632936425562,0.003325220372413314
3,1.0,0.5,0.5,neel_x,0.5,0.0625,8,0.5,total_energy_density,trotter2,0.9978432469740198,0.0021567530259796186,0.001946963860146987,3.790668272718456e-06,7.771561172376096e-16,1.16746126982809,0.8512564153378084,0.07296632936425562,0.003325220372413314
3,1.0,0.5,0.5,neel_x,0.5,0.03125,16,0.5,total_energy_density,exact,0.9999999999999994,0.0,0.0,0.0,4.440892098500626e-16,1.16746126982809,0.8512564153378084,0.03648316468212781,0.0008313050931033285
3,1.0,0.5,0.5,neel_x,0.5,0.03125,16,0.5,total_energy_density,trotter1,0.9804783445557635,0.019521655444235897,0.025737881610605116,0.0006624385498015251,1.0362081563168128e-15,1.16746126982809,0.8512564153378084,0.03648316468212781,0.0008313050931033285
3,1.0,0.5,0.5,neel_x,0.5,0.03125,16,0.5,total_energy_density,trotter2,0.9994623910159894,0.0005376089840100073,0.0004859832336100736,2.361797033501034e-07,1.6283271027835629e-15,1.16746126982809,0.8512564153378084,0.03648316468212781,0.0008313050931033285
3,1.0,0.5,0.5,neel_x,1.0,0.5,2,1.0,total_energy_density,exact,0.9999999999999997,0.0,0.0,0.0,3.3306690738754696e-16,0.6650789807421875,0.5872557212651257,0.33253949037109376,0.14681393031628143
3,1.0,0.5,0.5,neel_x,1.0,0.5,2,1.0,total_energy_density,trotter1,0.7823406365620829,0.2176593634379168,0.46957542078565917,0.22050107580602885,5.551115123125783e-16,0.6650789807421875,0.5872557212651257,0.33253949037109376,0.14681393031628143
3,1.0,0.5,0.5,neel_x,1.0,0.5,2,1.0,total_energy_density,trotter2,0.8536560504260193,0.14634394957398034,0.1748317583304184,0.030566143720905825,6.661338147750939e-16,0.6650789807421875,0.5872557212651257,0.33253949037109376,0.14681393031628143
3,1.0,0.5,0.5,neel_x,1.0,0.25,4,1.0,total_energy_density,exact,0.9999999999999997,0.0,0.0,0.0,3.3306690738754696e-16,0.6650789807421875,0.5872557212651257,0.16626974518554688,0.03670348257907036
3,1.0,0.5,0.5,neel_x,1.0,0.25,4,1.0,total_energy_density,trotter1,0.9598463319595646,0.040153668040435075,0.21788813318696684,0.047475238583701396,3.7007434154171886e-16,0.6650789807421875,0.5872557212651257,0.16626974518554688,0.03670348257907036
3,1.0,0.5,0.5,neel_x,1.0,0.25,4,1.0,total_energy_density,trotter2,0.9690855050890734,0.030914494910926238,0.04103531098986493,0.0016838967480349298,5.181040781584064e-16,0.6650789807421875,0.5872557212651257,0.16626974518554688,0.03670348257907036
3,1.0,0.5,0.5,neel_x,1.0,0.125,8,1.0,total_energy_density,exact,0.9999999999999997,0.0,0.0,0.0,3.3306690738754696e-16,0.6650789807421875,0.5872557212651257,0.08313487259277344,0.00917587064476759
3,1.0,0.5,0.5,neel_x,1.0,0.125,8,1.0,total_energy_density,trotter1,0.9951419662338106,0.004858033766189096,0.10421102839370859,0.01085993843887434,4.070817756958907e-16,0.6650789807421875,0.5872557212651257,0.08313487259277344,0.00917587064476759
3,1.0,0.5,0.5,neel_x,1.0,0.125,8,1.0,total_energy_density,trotter2,0.9926035260981168,0.007396473901882916,0.01009062235141456,0.00010182065943886709,3.7007434154171886e-16,0.6650789807421875,0.5872557212651257,0.08313487259277344,0.00917587064476759
3,1.0,0.5,0.5,neel_x,1.0,0.0625,16,1.0,total_energy_density,exact,0.9999999999999997,0.0,0.0,0.0,3.3306690738754696e-16,0.6650789807421875,0.5872557212651257,0.04156743629638672,0.0022939676611918973
3,1.0,0.5,0.5,neel_x,1.0,0.0625,16,1.0,total_energy_density,trotter1,1.0012023724335988,0.0012023724335991082,0.05090775344994476,0.0025915993613203625,2.220446049250313e-15,0.6650789807421875,0.5872557212651257,0.04156743629638672,0.0022939676611918973
3,1.0,0.5,0.5,neel_x,1.0,0.0625,16,1.0,total_energy_density,trotter2,0.9981712265190866,0.0018287734809130374,0.002512154744586887,6.310921460750407e-06,8.141635513917814e-16,0.6650789807421875,0.5872557212651257,0.04156743629638672,0.0022939676611918973
3,1.0,0.5,0.5,neel_x,1.0,0.03125,32,1.0,total_energy_density,exact,0.9999999999999997,0.0,0.0,0.0,3.3306690738754696e-16,0.6650789807421875,0.5872557212651257,0.02078371814819336,0.0005734919152979743
3,1.0,0.5,0.5,neel_x,1.0,0.03125,32,1.0,total_energy_density,trotter1,1.0014926409186429,0.0014926409186432066,0.025154296108163957,0.0006327386126971923,2.220446049250313e-15,0.6650789807421875,0.5872557212651257,0.02078371814819336,0.0005734919152979743
3,1.0,0.5,0.5,neel_x,1.0,0.03125,32,1.0,total_energy_density,trotter2,0.9995440715391323,0.00045592846086739414,0.0006273826767146517,3.9360902304164114e-07,3.4046839421838135e-15,0.6650789807421875,0.5872557212651257,0.02078371814819336,0.0005734919152979743
3,1.0,0.5,0.5,neel_x,2.0,0.5,4,2.0,total_energy_density,exact,1.0,0.0,0.0,0.0,7.401486830834377e-17,1.7394761057157755,0.5549347719967039,0.8697380528578877,0.13873369299917598
3,1.0,0.5,0.5,neel_x,2.0,0.5,4,2.0,total_energy_density,trotter1,0.7104886314408589,0.28951136855914106,0.5133468133805718,0.26352495080798755,7.031412489292658e-16,1.7394761057157755,0.5549347719967039,0.8697380528578877,0.13873369299917598
3,1.0,0.5,0.5,neel_x,2.0,0.5,4,2.0,total_energy_density,trotter2,0.8198994126565553,0.1801005873434447,0.22689538804221762,0.05148151711482851,6.661338147750939e-16,1.7394761057157755,0.5549347719967039,0.8697380528578877,0.13873369299917598
3,1.0,0.5,0.5,neel_x,2.0,0.25,8,2.0,total_energy_density,exact,1.0,0.0,0.0,0.0,7.401486830834377e-17,1.7394761057157755,0.5549347719967039,0.4348690264289439,0.034683423249793996
3,1.0,0.5,0.5,neel_x,2.0,0.25,8,2.0,total_energy_density,trotter1,0.9457844501222876,0.05421554987771238,0.22660367236621373,0.05134922432985434,4.440892098500626e-16,1.7394761057157755,0.5549347719967039,0.4348690264289439,0.034683423249793996
3,1.0,0.5,0.5,neel_x,2.0,0.25,8,2.0,total_energy_density,trotter2,0.9595717136692082,0.04042828633079176,0.054159891848817164,0.002933293885075572,4.810966440042345e-16,1.7394761057157755,0.5549347719967039,0.4348690264289439,0.034683423249793996
3,1.0,0.5,0.5,neel_x,2.0,0.125,16,2.0,total_energy_density,exact,1.0,0.0,0.0,0.0,7.401486830834377e-17,1.7394761057157755,0.5549347719967039,0.21743451321447194,0.008670855812448499
3,1.0,0.5,0.5,neel_x,2.0,0.125,16,2.0,total_energy_density,trotter1,0.9937678477423315,0.0062321522576684885,0.10564888159300695,0.011161686181853203,1.0362081563168128e-15,1.7394761057157755,0.5549347719967039,0.21743451321447194,0.008670855812448499
3,1.0,0.5,0.5,neel_x,2.0,0.125,16,2.0,total_energy_density,trotter2,0.9902299211817945,0.009770078818205463,0.01335869260612856,0.00017845466814503386,0.0,1.7394761057157755,0.5549347719967039,0.21743451321447194,0.008670855812448499
3,1.0,0.5,0.5,neel_x,2.0,0.0625,32,2.0,total_energy_density,exact,1.0,0.0,0.0,0.0,7.401486830834377e-17,1.7394761057157755,0.5549347719967039,0.10871725660723597,0.0021677139531121247
3,1.0,0.5,0.5,neel_x,2.0,0.0625,32,2.0,total_energy_density,trotter1,1.0017065203954052,0.0017065203954051977,0.050984201446777525,0.0025993887971655916,3.552713678800501e-15,1.7394761057157755,0.5549347719967039,0.10871725660723597,0.0021677139531121247
3,1.0,0.5,0.5,neel_x,2.0,0.0625,32,2.0,total_energy_density,trotter2,0.997579077932129,0.002420922067871034,0.003328081638411097,1.1076127391929091e-05,6.291263806209221e-16,1.7394761057157755,0.5549347719967039,0.10871725660723597,0.0021677139531121247
3,1.0,0.5,0.5,neel_x,2.0,0.03125,64,2.0,total_energy_density,exact,1.0,0.0,0.0,0.0,7.401486830834377e-17,1.7394761057157755,0.5549347719967039,0.054358628303617984,0.0005419284882780312
3,1.0,0.5,0.5,neel_x,2.0,0.03125,64,2.0,total_energy_density,trotter1,1.0020091094452024,0.002009109445202384,0.02504356125486187,0.0006271799603260186,4.6629367034256575e-15,1.7394761057157755,0.5549347719967039,0.054358628303617984,0.0005419284882780312
3,1.0,0.5,0.5,neel_x,2.0,0.03125,64,2.0,total_energy_density,trotter2,0.9993961267807538,0.0006038732192461538,0.0008312920952659962,6.910465476517302e-07,8.43769498715119e-15,1.7394761057157755,0.5549347719967039,0.054358628303617984,0.0005419284882780312
3,1.0,0.5,0.5,neel_x,4.0,0.5,8,4.0,total_energy_density,exact,1.0000000000000004,0.0,0.0,0.0,0.0,0.4451834129344924,0.8878688244609676,0.2225917064672462,0.2219672061152419
3,1.0,0.5,0.5,neel_x,4.0,0.5,8,4.0,total_energy_density,trotter1,0.6764964317899559,0.32350356821004456,0.6089205574113179,0.37078424523811004,9.62193288008469e-16,0.4451834129344924,0.8878688244609676,0.2225917064672462,0.2219672061152419
3,1.0,0.5,0.5,neel_x,4.0,0.5,8,4.0,total_energy_density,trotter2,0.8133083644443333,0.18669163555566715,0.3852741322687544,0.14843615699544166,9.251858538542972e-16,0.4451834129344924,0.8878688244609676,0.2225917064672462,0.2219672061152419
3,1.0,0.5,0.5,neel_x,4.0,0.25,16,4.0,total_energy_density,exact,1.0000000000000004,0.0,0.0,0.0,0.0,0.4451834129344924,0.8878688244609676,0.1112958532336231,0.055491801528810475
3,1.0,0.5,0.5,neel_x,4.0,0.25,16,4.0,total_energy_density,trotter1,0.9795577827610098,0.020442217238990645,0.24830405298659003,0.06165490272956731,3.7007434154171886e-16,0.4451834129344924,0.8878688244609676,0.1112958532336231,0.055491801528810475
3,1.0,0.5,0.5,neel_x,4.0,0.25,16,4.0,total_energy_density,trotter2,0.9682567613073665,0.03174323869263396,0.09166370471222138,0.008402234761569316,3.7007434154171886e-16,0.4451834129344924,0.8878688244609676,0.1112958532336231,0.055491801528810475
3,1.0,0.5,0.5,neel_x,4.0,0.125,32,4.0,total_energy_density,exact,1.0000000000000004,0.0,0.0,0.0,0.0,0.4451834129344924,0.8878688244609676,0.05564792661681155,0.013872950382202619
3,1.0,0.5,0.5,neel_x,4.0,0.125,32,4.0,total_energy_density,trotter1,1.0096533694583043,0.009653369458303862,0.10941266560642468,0.011971131395103307,1.5543122344752192e-15,0.4451834129344924,0.8878688244609676,0.05564792661681155,0.013872950382202619
3,1.0,0.5,0.5,neel_x,4.0,0.125,32,4.0,total_energy_density,trotter2,0.9929028914152538,0.007097108584746659,0.022512294523378183,0.0005068034047073233,5.921189464667501e-16,0.4451834129344924,0.8878688244609676,0.05564792661681155,0.013872950382202619
3,1.0,0.5,0.5,neel_x,4.0,0.0625,64,4.0,total_energy_density,exact,1.0000000000000004,0.0,0.0,0.0,0.0,0.4451834129344924,0.8878688244609676,0.027823963308405773,0.0034682375955506547
3,1.0,0.5,0.5,neel_x,4.0,0.0625,64,4.0,total_energy_density,trotter1,1.0087473282909802,0.008747328290979794,0.05125502781588393,0.0026270778764070357,5.551115123125783e-15,0.4451834129344924,0.8878688244609676,0.027823963308405773,0.0034682375955506547
3,1.0,0.5,0.5,neel_x,4.0,0.0625,64,4.0,total_energy_density,trotter2,0.998275641788782,0.001724358211218413,0.005601545401205267,3.1377310881763876e-05,9.62193288008469e-16,0.4451834129344924,0.8878688244609676,0.027823963308405773,0.0034682375955506547
3,1.0,0.5,0.5,neel_x,4.0,0.03125,128,4.0,total_energy_density,exact,1.0000000000000004,0.0,0.0,0.0,0.0,0.4451834129344924,0.8878688244609676,0.013911981654202887,0.0008670593988876637
3,1.0,0.5,0.5,neel_x,4.0,0.03125,128,4.0,total_energy_density,trotter1,1.005266719721177,0.005266719721176649,0.02480713755069982,0.000615394073459341,1.2360483007493409e-14,0.4451834129344924,0.8878688244609676,0.013911981654202887,0.0008670593988876637
3,1.0,0.5,0.5,neel_x,4.0,0.03125,128,4.0,total_energy_density,trotter2,0.9995719892063497,0.0004280107936507349,0.0013987096311665883,1.9563886323181734e-06,1.9317880628477724e-14,0.4451834129344924,0.8878688244609676,0.013911981654202887,0.0008670593988876637
3,1.0,0.5,0.5,uniform_x,0.5,0.5,1,0.5,total_energy_density,exact,0.6666666666666662,0.0,0.0,0.0,3.3306690738754696e-16,0.30558524786378755,0.5352119699514601,0.15279262393189377,0.13380299248786504
3,1.0,0.5,0.5,uniform_x,0.5,0.5,1,0.5,total_energy_density,trotter1,0.3188055832218077,0.3478610834448585,0.33612550667638824,0.1129803562384587,8.511709855459534e-16,0.30558524786378755,0.5352119699514601,0.15279262393189377,0.13380299248786504
3,1.0,0.5,0.5,uniform_x,0.5,0.5,1,0.5,total_energy_density,trotter2,0.5858841898704653,0.08078247679620087,0.09256357418938571,0.008568015266713913,3.3306690738754696e-16,0.30558524786378755,0.5352119699514601,0.15279262393189377,0.13380299248786504
3,1.0,0.5,0.5,uniform_x,0.5,0.25,2,0.5,total_energy_density,exact,0.6666666666666662,0.0,0.0,0.0,3.3306690738754696e-16,0.30558524786378755,0.5352119699514601,0.07639631196594689,0.03345074812196626
3,1.0,0.5,0.5,uniform_x,0.5,0.25,2,0.5,total_energy_density,trotter1,0.5272632095604524,0.13940345710621382,0.15447391930463894,0.023862191745336103,0.0,0.30558524786378755,0.5352119699514601,0.07639631196594689,0.03345074812196626
3,1.0,0.5,0.5,uniform_x,0.5,0.25,2,0.5,total_energy_density,trotter2,0.6496225081234449,0.017044158543221277,0.020839566500039045,0.0004342875319095496,5.181040781584064e-16,0.30558524786378755,0.5352119699514601,0.07639631196594689,0.03345074812196626
3,1.0,0.5,0.5,uniform_x,0.5,0.125,4,0.5,total_energy_density,exact,0.6666666666666662,0.0,0.0,0.0,3.3306690738754696e-16,0.30558524786378755,0.5352119699514601,0.03819815598297344,0.008362687030491565
3,1.0,0.5,0.5,uniform_x,0.5,0.125,4,0.5,total_energy_density,trotter1,0.6045868782023567,0.062079788464309504,0.07463607839634177,0.005570544198384875,6.661338147750939e-16,0.30558524786378755,0.5352119699514601,0.03819815598297344,0.008362687030491565
3,1.0,0.5,0.5,uniform_x,0.5,0.125,4,0.5,total_energy_density,trotter2,0.6625739160055628,0.004092750661103373,0.005083215115338592,2.583907590880674e-05,1.4062824978585316e-15,0.30558524786378755,0.5352119699514601,0.03819815598297344,0.008362687030491565
3,1.0,0.5,0.5,uniform_x,0.5,0.0625,8,0.5,total_energy_density,exact,0.6666666666666662,0.0,0.0,0.0,3.3306690738754696e-16,0.30558524786378755,0.5352119699514601,0.01909907799148672,0.002090671757622891
3,1.0,0.5,0.5,uniform_x,0.5,0.0625,8,0.5,total_energy_density,trotter1,0.63747504199081,0.02919162467585623,0.036741315417083344,0.0013499242585776061,2.294460917558657e-15,0.30558524786378755,0.5352119699514601,0.01909907799148672,0.002090671757622891
3,1.0,0.5,0.5,uniform_x,0.5,0.0625,8,0.5,total_energy_density,trotter2,0.6656535999699841,0.0010130666966821078,0.0012631284235962823,1.5954934144968291e-06,2.220446049250313e-16,0.30558524786378755,0.5352119699514601,0.01909907799148672,0.002090671757622891
3,1.0,0.5,0.5,uniform_x,0.5,0.03125,16,0.5,total_energy_density,exact,0.6666666666666662,0.0,0.0,0.0,3.3306690738754696e-16,0.30558524786378755,0.5352119699514601,0.00954953899574336,0.0005226679394057228
3,1.0,0.5,0.5,uniform_x,0.5,0.03125,16,0.5,total_energy_density,trotter1,0.6525296567946167,0.014137009872049466,0.018234771791885197,0.0003325069023021321,8.881784197001252e-16,0.30558524786378755,0.5352119699514601,0.00954953899574336,0.0005226679394057228
3,1.0,0.5,0.5,uniform_x,0.5,0.03125,16,0.5,total_energy_density,trotter2,0.6664140265479795,0.00025264011868664227,0.0003153060733581552,9.941791989653836e-08,7.771561172376096e-16,0.30558524786378755,0.5352119699514601,0.00954953899574336,0.0005226679394057228
