n_sites,backend,j,g,m,initial_state,t_target,observable_name,method,metric,slope,prefactor,points
5,sparse,1.0,1.0,0.5,neel_x,1.0,h_hop_density,trotter1,observable_error,0.7737683753291412,0.11888886263317726,4
5,sparse,1.0,1.0,0.5,neel_x,1.0,h_hop_density,trotter1,state_error,1.0115563551124187,1.7754724243352455,4
5,sparse,1.0,1.0,0.5,neel_x,1.0,h_hop_density,trotter2,observable_error,1.9900948459602856,0.567075687016393,4
5,sparse,1.0,1.0,0.5,neel_x,1.0,h_hop_density,trotter2,state_error,2.0124161240907887,0.9760630004072942,4
5,sparse,1.0,1.0,0.5,neel_x,2.0,h_hop_density,trotter1,observable_error,1.0925946930259367,0.8004824261766796,4
5,sparse,1.0,1.0,0.5,neel_x,2.0,h_hop_density,trotter1,state_error,1.0382422574545116,1.375988600456734,4
5,sparse,1.0,1.0,0.5,neel_x,2.0,h_hop_density,trotter2,observable_error,1.9920200749287895,0.6141188248155418,4
5,sparse,1.0,1.0,0.5,neel_x,2.0,h_hop_density,trotter2,state_error,2.0275094783704444,1.2430762941812477,4
5,sparse,1.0,1.0,0.5,uniform_x,1.0,h_hop_density,trotter1,observable_error,1.7219951628390957,0.39340720770621695,4
5,sparse,1.0,1.0,0.5,uniform_x,1.0,h_hop_density,trotter1,state_error,1.0155875605693812,1.2630825688324538,4
5,sparse,1.0,1.0,0.5,uniform_x,1.0,h_hop_density,trotter2,observable_error,1.9861241985829103,0.15284244351112908,4
5,sparse,1.0,1.0,0.5,uniform_x,1.0,h_hop_density,trotter2,state_error,2.008724548754314,0.6400152493082865,4
5,sparse,1.0,1.0,0.5,uniform_x,2.0,h_hop_density,trotter1,observable_error,0.9050816830670428,0.18640982375162288,4
5,sparse,1.0,1.0,0.5,uniform_x,2.0,h_hop_density,trotter1,state_error,0.9970063838724778,0.8756567503522629,4
5,sparse,1.0,1.0,0.5,uniform_x,2.0,h_hop_density,trotter2,observable_error,2.0181694822521905,0.05565878156400884,4
5,sparse,1.0,1.0,0.5,uniform_x,2.0,h_hop_density,trotter2,state_error,2.0183708738324153,0.5707352591152827,4
