n_sites,backend,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
5,sparse,1.0,1.0,0.5,neel_x,1.0,0.25,4,1.0,h_hop_density,exact,0.7256416497594016,0.0,0.0,0.0,3.4416913763379853e-15,2.490999732034911,0.2211376446854238,0.6227499330087277,0.013821102792838987
5,sparse,1.0,1.0,0.5,neel_x,1.0,0.25,4,1.0,h_hop_density,trotter1,0.7630795237296779,0.037437873970276314,0.4368121037797882,0.19080481400852445,8.881784197001252e-16,2.490999732034911,0.2211376446854238,0.6227499330087277,0.013821102792838987
5,sparse,1.0,1.0,0.5,neel_x,1.0,0.25,4,1.0,h_hop_density,trotter2,0.7614064365659579,0.03576478680655626,0.06028557296717188,0.0036343503079802053,1.4876988529977098e-15,2.490999732034911,0.2211376446854238,0.6227499330087277,0.013821102792838987
5,sparse,1.0,1.0,0.5,neel_x,1.0,0.125,8,1.0,h_hop_density,exact,0.7256416497594016,0.0,0.0,0.0,3.4416913763379853e-15,2.490999732034911,0.2211376446854238,0.31137496650436386,0.003455275698209747
5,sparse,1.0,1.0,0.5,neel_x,1.0,0.125,8,1.0,h_hop_density,trotter1,0.7519297501650947,0.02628810040569307,0.2167972640196531,0.04700105368640717,1.3322676295501878e-15,2.490999732034911,0.2211376446854238,0.31137496650436386,0.003455275698209747
5,sparse,1.0,1.0,0.5,neel_x,1.0,0.125,8,1.0,h_hop_density,trotter2,0.7347390162057577,0.009097366446356059,0.014765840617655358,0.00021803004914600077,2.220446049250313e-16,2.490999732034911,0.2211376446854238,0.31137496650436386,0.003455275698209747
5,sparse,1.0,1.0,0.5,neel_x,1.0,0.0625,16,1.0,h_hop_density,exact,0.7256416497594016,0.0,0.0,0.0,3.4416913763379853e-15,2.490999732034911,0.2211376446854238,0.15568748325218193,0.0008638189245524367
5,sparse,1.0,1.0,0.5,neel_x,1.0,0.0625,16,1.0,h_hop_density,trotter1,0.7402484550350966,0.014606805275695023,0.10733741199794057,0.011521320014415637,5.551115123125783e-16,2.490999732034911,0.2211376446854238,0.15568748325218193,0.0008638189245524367
5,sparse,1.0,1.0,0.5,neel_x,1.0,0.0625,16,1.0,h_hop_density,trotter2,0.7279240719498437,0.002282422190442057,0.0036723891588828967,1.348644213428063e-05,8.215650382226159e-16,2.490999732034911,0.2211376446854238,0.15568748325218193,0.0008638189245524367
5,sparse,1.0,1.0,0.5,neel_x,1.0,0.03125,32,1.0,h_hop_density,exact,0.7256416497594016,0.0,0.0,0.0,3.4416913763379853e-15,2.490999732034911,0.2211376446854238,0.07784374162609096,0.00021595473113810918
5,sparse,1.0,1.0,0.5,neel_x,1.0,0.03125,32,1.0,h_hop_density,trotter1,0.7332616361809252,0.007619986421523617,0.05333752658398847,0.002844891742097677,2.220446049250313e-16,2.490999732034911,0.2211376446854238,0.07784374162609096,0.00021595473113810918
5,sparse,1.0,1.0,0.5,neel_x,1.0,0.03125,32,1.0,h_hop_density,trotter2,0.7262127356102539,0.0005710858508523042,0.0009169053267393924,8.407153782030719e-07,2.597921877622866e-15,2.490999732034911,0.2211376446854238,0.07784374162609096,0.00021595473113810918
5,sparse,1.0,1.0,0.5,neel_x,2.0,0.25,8,2.0,h_hop_density,exact,0.26020250711660153,0.0,0.0,0.0,1.6875389974302379e-15,3.172357040311289,0.8032866274139423,0.7930892600778222,0.050205414213371394
5,sparse,1.0,1.0,0.5,neel_x,2.0,0.25,8,2.0,h_hop_density,trotter1,0.08351392752897151,0.17668857958763,0.32833230071526426,0.10780209969297871,1.5321077739827161e-15,3.172357040311289,0.8032866274139423,0.7930892600778222,0.050205414213371394
5,sparse,1.0,1.0,0.5,neel_x,2.0,0.25,8,2.0,h_hop_density,trotter2,0.2215630474379714,0.03863945967863014,0.07567999541776113,0.005727461706432346,1.4432899320127035e-15,3.172357040311289,0.8032866274139423,0.7930892600778222,0.050205414213371394
5,sparse,1.0,1.0,0.5,neel_x,2.0,0.125,16,2.0,h_hop_density,exact,0.26020250711660153,0.0,0.0,0.0,1.6875389974302379e-15,3.172357040311289,0.8032866274139423,0.3965446300389111,0.012551353553342848
5,sparse,1.0,1.0,0.5,neel_x,2.0,0.125,16,2.0,h_hop_density,trotter1,0.17770923335180255,0.08249327376479898,0.15781772476664854,0.024906434250521636,1.1324274851176596e-15,3.172357040311289,0.8032866274139423,0.3965446300389111,0.012551353553342848
5,sparse,1.0,1.0,0.5,neel_x,2.0,0.125,16,2.0,h_hop_density,trotter2,0.2503916431582284,0.009810863958373106,0.0180804430014012,0.00032690241912691764,8.881784197001252e-16,3.172357040311289,0.8032866274139423,0.3965446300389111,0.012551353553342848
5,sparse,1.0,1.0,0.5,neel_x,2.0,0.0625,32,2.0,h_hop_density,exact,0.26020250711660153,0.0,0.0,0.0,1.6875389974302379e-15,3.172357040311289,0.8032866274139423,0.19827231501945555,0.003137838388335712
