n_sites,backend,split,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.5,1,0.5,h_hop_density,exact,-0.4970611049938126,0.0,0.0,0.0,0.9999999999999998,1.5260207086945767,0.03865733935836449,0.7630103543472884,0.009664334839591122
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.5,1,0.5,h_hop_density,trotter1,-0.41611444379728457,0.08094666119652805,0.5209201378355838,0.2713577900026436,0.9999999999999998,1.5260207086945767,0.03865733935836449,0.7630103543472884,0.009664334839591122
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.5,1,0.5,h_hop_density,trotter2,-0.4161144437972847,0.08094666119652794,0.17811653164960112,0.03172549884688336,0.9999999999999998,1.5260207086945767,0.03865733935836449,0.7630103543472884,0.009664334839591122
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.25,2,0.5,h_hop_density,exact,-0.4970611049938126,0.0,0.0,0.0,0.9999999999999998,1.5260207086945767,0.03865733935836449,0.3815051771736442,0.0024160837098977806
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.25,2,0.5,h_hop_density,trotter1,-0.4783595307761891,0.01870157421762353,0.24279118138463457,0.05894755775814653,0.9999999999999998,1.5260207086945767,0.03865733935836449,0.3815051771736442,0.0024160837098977806
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.25,2,0.5,h_hop_density,trotter2,-0.4783595307761891,0.01870157421762353,0.03998615142828183,0.0015988923060454852,0.9999999999999998,1.5260207086945767,0.03865733935836449,0.3815051771736442,0.0024160837098977806
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.125,4,0.5,h_hop_density,exact,-0.4970611049938126,0.0,0.0,0.0,0.9999999999999998,1.5260207086945767,0.03865733935836449,0.1907525885868221,0.0006040209274744452
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.125,4,0.5,h_hop_density,trotter1,-0.49247672826839417,0.004584376725418449,0.11734991728359606,0.013771003086466838,0.9999999999999998,1.5260207086945767,0.03865733935836449,0.1907525885868221,0.0006040209274744452
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.125,4,0.5,h_hop_density,trotter2,-0.49247672826839395,0.004584376725418671,0.009742737094824155,9.49209260988626e-05,0.9999999999999998,1.5260207086945767,0.03865733935836449,0.1907525885868221,0.0006040209274744452
4,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.0625,8,0.5,h_hop_density,exact,-0.4970611049938126,0.0,0.0,0.0,0.9999999999999998,1.5260207086945767,0.03865733935836449,0.09537629429341105,0.0001510052318686113
