n_sites,backend,split,j,g,m,initial_state,t_target,observable_name,method,metric,slope,prefactor,points
3,dense,original,1.0,1.0,0.5,neel_x,0.5,electric_density,trotter1,observable_error,2.074219279927845,0.5022872969693568,4
3,dense,original,1.0,1.0,0.5,neel_x,0.5,electric_density,trotter1,state_error,1.0445575298777259,1.2815131278753749,4
3,dense,original,1.0,1.0,0.5,neel_x,0.5,electric_density,trotter2,observable_error,2.07421927992778,0.5022872969693041,4
3,dense,original,1.0,1.0,0.5,neel_x,0.5,electric_density,trotter2,state_error,2.086768478385919,0.7505245809566723,4
3,dense,original,1.0,1.0,0.5,neel_x,1.0,electric_density,trotter1,observable_error,2.0764192397287076,0.9374513360206579,4
3,dense,original,1.0,1.0,0.5,neel_x,1.0,electric_density,trotter1,state_error,1.0316243948216168,1.3930321451991334,4
3,dense,original,1.0,1.0,0.5,neel_x,1.0,electric_density,trotter2,observable_error,2.0764192397286454,0.937451336020573,4
3,dense,original,1.0,1.0,0.5,neel_x,1.0,electric_density,trotter2,state_error,2.066495023498445,0.8773370402425474,4
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,electric_density,trotter1,observable_error,2.0576205016210065,0.2761938201543108,4
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,electric_density,trotter1,state_error,1.0481854376879567,0.9877517613912197,4
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,electric_density,trotter2,observable_error,2.057620501620498,0.2761938201541468,4
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,electric_density,trotter2,state_error,2.0814425373589946,0.5073602064628505,4
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,electric_density,trotter1,observable_error,2.0068569182223803,0.4867204271164413,4
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,electric_density,trotter1,state_error,1.0455434526312675,1.0840359524634464,4
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,electric_density,trotter2,observable_error,2.0068569182222578,0.48672042711637264,4
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,electric_density,trotter2,state_error,2.0342023361679153,0.5421403253255606,4
