n_sites,backend,split,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,electric_density,exact,0.663791893484756,0.0,0.0,0.0,4.440892098500626e-16,2.058271286450135,0.037959471326426936,1.0291356432250676,0.009489867831606734
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,electric_density,trotter1,0.5403023058681393,0.12348958761661666,0.6264126558871539,0.3923928154555979,5.921189464667501e-16,2.058271286450135,0.037959471326426936,1.0291356432250676,0.009489867831606734
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,electric_density,trotter2,0.5403023058681395,0.12348958761661644,0.18401341583311442,0.033860937206570685,3.7007434154171886e-16,2.058271286450135,0.037959471326426936,1.0291356432250676,0.009489867831606734
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,electric_density,exact,0.663791893484756,0.0,0.0,0.0,4.440892098500626e-16,2.058271286450135,0.037959471326426936,0.5145678216125338,0.0023724669579016835
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,electric_density,trotter1,0.636658090195163,0.027133803289593028,0.29860315186539405,0.08916384230394758,2.9605947323337506e-16,2.058271286450135,0.037959471326426936,0.5145678216125338,0.0023724669579016835
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,electric_density,trotter2,0.6366580901951631,0.027133803289592917,0.039552248102593154,0.001564380329969084,7.401486830834377e-17,2.058271286450135,0.037959471326426936,0.5145678216125338,0.0023724669579016835
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,electric_density,exact,0.663791893484756,0.0,0.0,0.0,4.440892098500626e-16,2.058271286450135,0.037959471326426936,0.2572839108062669,0.0005931167394754209
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,electric_density,trotter1,0.6571883263845928,0.006603567100163188,0.14492273593272412,0.021002599390226084,1.1102230246251565e-15,2.058271286450135,0.037959471326426936,0.2572839108062669,0.0005931167394754209
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,electric_density,trotter2,0.6571883263845939,0.006603567100162078,0.009582959571549537,9.183311414995288e-05,1.4802973661668753e-16,2.058271286450135,0.037959471326426936,0.2572839108062669,0.0005931167394754209
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,electric_density,exact,0.663791893484756,0.0,0.0,0.0,4.440892098500626e-16,2.058271286450135,0.037959471326426936,0.12864195540313345,0.00014827918486885522
