n_sites,backend,split,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,total_energy_density,exact,1.4999999999999996,0.0,0.0,0.0,4.440892098500626e-16,1.989022515571083,0.7083887138136455,0.9945112577855415,0.17709717845341139
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,total_energy_density,trotter1,0.6862655967313537,0.8137344032686459,0.6264126558871539,0.3923928154555979,5.921189464667501e-16,1.989022515571083,0.7083887138136455,0.9945112577855415,0.17709717845341139
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,total_energy_density,trotter2,1.2490736028180667,0.2509263971819329,0.18401341583311442,0.033860937206570685,3.7007434154171886e-16,1.989022515571083,0.7083887138136455,0.9945112577855415,0.17709717845341139
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,total_energy_density,exact,1.4999999999999996,0.0,0.0,0.0,4.440892098500626e-16,1.989022515571083,0.7083887138136455,0.49725562889277075,0.044274294613352846
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,total_energy_density,trotter1,1.234686009863859,0.26531399013614054,0.29860315186539405,0.08916384230394758,2.9605947323337506e-16,1.989022515571083,0.7083887138136455,0.49725562889277075,0.044274294613352846
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,total_energy_density,trotter2,1.4536351521158895,0.046364847884110105,0.039552248102593154,0.001564380329969084,7.401486830834377e-17,1.989022515571083,0.7083887138136455,0.49725562889277075,0.044274294613352846
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,total_energy_density,exact,1.4999999999999996,0.0,0.0,0.0,4.440892098500626e-16,1.989022515571083,0.7083887138136455,0.24862781444638538,0.011068573653338212
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,total_energy_density,trotter1,1.395876184346092,0.10412381565390749,0.14492273593272412,0.021002599390226084,1.1102230246251565e-15,1.989022515571083,0.7083887138136455,0.24862781444638538,0.011068573653338212
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,total_energy_density,trotter2,1.4891485301371339,0.01085146986286567,0.009582959571549537,9.183311414995288e-05,1.4802973661668753e-16,1.989022515571083,0.7083887138136455,0.24862781444638538,0.011068573653338212
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,total_energy_density,exact,1.4999999999999996,0.0,0.0,0.0,4.440892098500626e-16,1.989022515571083,0.7083887138136455,0.12431390722319269,0.002767143413334553
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,total_energy_density,trotter1,1.4546181691669542,0.04538183083304537,0.07134594843920081,0.0050902443586891,2.9605947323337506e-16,1.989022515571083,0.7083887138136455,0.12431390722319269,0.002767143413334553
3,dense,original,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,total_energy_density,trotter2,1.497330594347373,0.002669405652626633,0.002377608289868637,5.653021180052065e-06,4.810966440042345e-16,1.989022515571083,0.7083887138136455,0.12431390722319269,0.002767143413334553
3,dense,original,1.0,1.0,0.5,neel_x,1.0,0.5,2,1.0,total_energy_density,exact,1.5,0.0,0.0,0.0,0.0,0.9094538521406006,0.5821909775915866,0.4547269260703003,0.14554774439789664
3,dense,original,1.0,1.0,0.5,neel_x,1.0,0.5,2,1.0,total_energy_density,trotter1,1.2009602139432576,0.2990397860567424,0.6827499132652943,0.46614744406376696,5.181040781584064e-16,0.9094538521406006,0.5821909775915866,0.4547269260703003,0.14554774439789664
3,dense,original,1.0,1.0,0.5,neel_x,1.0,0.5,2,1.0,total_energy_density,trotter2,1.3029502071142,0.19704979288579993,0.21591898717883615,0.046621009024334414,4.440892098500626e-16,0.9094538521406006,0.5821909775915866,0.4547269260703003,0.14554774439789664
3,dense,original,1.0,1.0,0.5,neel_x,1.0,0.25,4,1.0,total_energy_density,exact,1.5,0.0,0.0,0.0,0.0,0.9094538521406006,0.5821909775915866,0.22736346303515015,0.03638693609947416
3,dense,original,1.0,1.0,0.5,neel_x,1.0,0.25,4,1.0,total_energy_density,trotter1,1.484930957255231,0.015069042744769057,0.3330893138010482,0.11094849096845316,3.3306690738754696e-16,0.9094538521406006,0.5821909775915866,0.22736346303515015,0.03638693609947416
3,dense,original,1.0,1.0,0.5,neel_x,1.0,0.25,4,1.0,total_energy_density,trotter2,1.46385758111184,0.036142418888160055,0.04817073283460659,0.0023204195018230456,2.220446049250313e-16,0.9094538521406006,0.5821909775915866,0.22736346303515015,0.03638693609947416
3,dense,original,1.0,1.0,0.5,neel_x,1.0,0.125,8,1.0,total_energy_density,exact,1.5,0.0,0.0,0.0,0.0,0.9094538521406006,0.5821909775915866,0.11368173151757507,0.00909673402486854
3,dense,original,1.0,1.0,0.5,neel_x,1.0,0.125,8,1.0,total_energy_density,trotter1,1.5180872065077096,0.018087206507709563,0.1623160993516627,0.026346516108738838,1.5543122344752192e-15,0.9094538521406006,0.5821909775915866,0.11368173151757507,0.00909673402486854
3,dense,original,1.0,1.0,0.5,neel_x,1.0,0.125,8,1.0,total_energy_density,trotter2,1.491566972047354,0.00843302795264611,0.011743293128295803,0.00013790493349707944,3.7007434154171886e-16,0.9094538521406006,0.5821909775915866,0.11368173151757507,0.00909673402486854
3,dense,original,1.0,1.0,0.5,neel_x,1.0,0.0625,16,1.0,total_energy_density,exact,1.5,0.0,0.0,0.0,0.0,0.9094538521406006,0.5821909775915866,0.05684086575878754,0.002274183506217135
3,dense,original,1.0,1.0,0.5,neel_x,1.0,0.0625,16,1.0,total_energy_density,trotter1,1.5148772914689537,0.014877291468953668,0.08001321677869502,0.006402114859274444,5.181040781584064e-16,0.9094538521406006,0.5821909775915866,0.05684086575878754,0.002274183506217135
3,dense,original,1.0,1.0,0.5,neel_x,1.0,0.0625,16,1.0,total_energy_density,trotter2,1.4979273662524926,0.0020726337475074352,0.0029176419306842175,8.512634435686728e-06,9.251858538542972e-16,0.9094538521406006,0.5821909775915866,0.05684086575878754,0.002274183506217135
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,0.5,1,0.5,total_energy_density,exact,1.166666666666666,0.0,0.0,0.0,4.440892098500626e-16,0.7101460181207384,0.6686272453354268,0.3550730090603692,0.1671568113338567
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,0.5,1,0.5,total_energy_density,trotter1,0.5889567361558775,0.5777099305107886,0.4838974057778225,0.23415669931850658,4.070817756958907e-16,0.7101460181207384,0.6686272453354268,0.3550730090603692,0.1671568113338567
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,0.5,1,0.5,total_energy_density,trotter2,1.0338515604981022,0.13281510616856385,0.12444716763876999,0.015487097533312122,4.440892098500626e-16,0.7101460181207384,0.6686272453354268,0.3550730090603692,0.1671568113338567
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,0.25,2,0.5,total_energy_density,exact,1.166666666666666,0.0,0.0,0.0,4.440892098500626e-16,0.7101460181207384,0.6686272453354268,0.1775365045301846,0.04178920283346418
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,0.25,2,0.5,total_energy_density,trotter1,0.9496645227963989,0.21700214387026717,0.2275604413326373,0.05178375445950467,4.440892098500626e-16,0.7101460181207384,0.6686272453354268,0.1775365045301846,0.04178920283346418
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,0.25,2,0.5,total_energy_density,trotter2,1.1405779208989817,0.026088745767684385,0.027051032041589634,0.0007317583345151091,2.9605947323337506e-16,0.7101460181207384,0.6686272453354268,0.1775365045301846,0.04178920283346418
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,0.125,4,0.5,total_energy_density,exact,1.166666666666666,0.0,0.0,0.0,4.440892098500626e-16,0.7101460181207384,0.6686272453354268,0.0887682522650923,0.010447300708366044
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,0.125,4,0.5,total_energy_density,trotter1,1.073403886836134,0.0932627798305321,0.1106829900754412,0.012250724292040216,6.661338147750939e-16,0.7101460181207384,0.6686272453354268,0.0887682522650923,0.010447300708366044
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,0.125,4,0.5,total_energy_density,trotter2,1.1604873283212787,0.0061793383453874196,0.006558572153598524,4.3014868693957986e-05,4.810966440042345e-16,0.7101460181207384,0.6686272453354268,0.0887682522650923,0.010447300708366044
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,0.0625,8,0.5,total_energy_density,exact,1.166666666666666,0.0,0.0,0.0,4.440892098500626e-16,0.7101460181207384,0.6686272453354268,0.04438412613254615,0.002611825177091511
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,0.0625,8,0.5,total_energy_density,trotter1,1.1236740132448957,0.04299265342177039,0.05461447074901665,0.0029827404151951953,4.440892098500626e-16,0.7101460181207384,0.6686272453354268,0.04438412613254615,0.002611825177091511
3,dense,original,1.0,1.0,0.5,uniform_x,0.5,0.0625,8,0.5,total_energy_density,trotter2,1.1651420347197354,0.0015246319469306435,0.0016275002704444893,2.648757130296886e-06,2.1094237467877974e-15,0.7101460181207384,0.6686272453354268,0.04438412613254615,0.002611825177091511
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,0.5,2,1.0,total_energy_density,exact,1.1666666666666665,0.0,0.0,0.0,1.1102230246251565e-16,0.796595276733437,0.029767338401705506,0.3982976383667185,0.007441834600426377
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,0.5,2,1.0,total_energy_density,trotter1,0.8207044351700142,0.3459622314966523,0.5301478320111189,0.2810567237860896,5.551115123125783e-16,0.796595276733437,0.029767338401705506,0.3982976383667185,0.007441834600426377
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,0.5,2,1.0,total_energy_density,trotter2,1.0612357656167073,0.10543090104995922,0.13436513886657883,0.018053990542635012,5.551115123125783e-16,0.796595276733437,0.029767338401705506,0.3982976383667185,0.007441834600426377
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,0.25,4,1.0,total_energy_density,exact,1.1666666666666665,0.0,0.0,0.0,1.1102230246251565e-16,0.796595276733437,0.029767338401705506,0.19914881918335925,0.0018604586501065942
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,0.25,4,1.0,total_energy_density,trotter1,1.0723873840139992,0.09427928265266727,0.2518551456745061,0.0634310144027267,5.181040781584064e-16,0.796595276733437,0.029767338401705506,0.19914881918335925,0.0018604586501065942
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,0.25,4,1.0,total_energy_density,trotter2,1.1427134860713737,0.023953180595292833,0.0317281957109516,0.0010066784030724474,1.1102230246251565e-16,0.796595276733437,0.029767338401705506,0.19914881918335925,0.0018604586501065942
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,0.125,8,1.0,total_energy_density,exact,1.1666666666666665,0.0,0.0,0.0,1.1102230246251565e-16,0.796595276733437,0.029767338401705506,0.09957440959167962,0.00046511466252664854
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,0.125,8,1.0,total_energy_density,trotter1,1.136565135333928,0.03010153133273863,0.12228412484352826,0.014953407188747603,3.3306690738754696e-16,0.796595276733437,0.029767338401705506,0.09957440959167962,0.00046511466252664854
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,0.125,8,1.0,total_energy_density,trotter2,1.160822917643519,0.005843749023147549,0.007822768899389022,6.119571325324813e-05,6.291263806209221e-16,0.796595276733437,0.029767338401705506,0.09957440959167962,0.00046511466252664854
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,0.0625,16,1.0,total_energy_density,exact,1.1666666666666665,0.0,0.0,0.0,1.1102230246251565e-16,0.796595276733437,0.029767338401705506,0.04978720479583981,0.00011627866563166213
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,0.0625,16,1.0,total_energy_density,trotter1,1.1556458909574108,0.011020775709255748,0.06023618187427452,0.0036283976067906787,2.0724163126336257e-15,0.796595276733437,0.029767338401705506,0.04978720479583981,0.00011627866563166213
3,dense,original,1.0,1.0,0.5,uniform_x,1.0,0.0625,16,1.0,total_energy_density,trotter2,1.1652146562083299,0.00145201045833665,0.0019489251601533565,3.7983092798787865e-06,2.9235872981795788e-15,0.796595276733437,0.029767338401705506,0.04978720479583981,0.00011627866563166213
