n_sites,backend,split,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,staggered_magnetization,exact,0.47256247451089034,0.0,0.0,0.0,4.440892098500626e-16,3.52634025066395,1.1213539026817518,1.763170125331975,0.28033847567043796
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,staggered_magnetization,trotter1,0.2919265817264286,0.18063589278446174,0.48332969243416696,0.2336075915885064,6.291263806209221e-16,3.52634025066395,1.1213539026817518,1.763170125331975,0.28033847567043796
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.5,1,0.5,staggered_magnetization,trotter2,0.7453430537563652,0.2727805792454749,0.24261885652891757,0.058863909543399484,4.070817756958907e-16,3.52634025066395,1.1213539026817518,1.763170125331975,0.28033847567043796
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,staggered_magnetization,exact,0.47256247451089034,0.0,0.0,0.0,4.440892098500626e-16,3.52634025066395,1.1213539026817518,0.8815850626659875,0.07008461891760949
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,staggered_magnetization,trotter1,0.4321290765436535,0.04043339796723683,0.2626105568935107,0.06896430459191982,2.9605947323337506e-16,3.52634025066395,1.1213539026817518,0.8815850626659875,0.07008461891760949
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.25,2,0.5,staggered_magnetization,trotter2,0.5412947620147459,0.06873228750385557,0.056286624650781616,0.0031681841145779766,4.440892098500626e-16,3.52634025066395,1.1213539026817518,0.8815850626659875,0.07008461891760949
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,staggered_magnetization,exact,0.47256247451089034,0.0,0.0,0.0,4.440892098500626e-16,3.52634025066395,1.1213539026817518,0.44079253133299373,0.017521154729402372
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,staggered_magnetization,trotter1,0.46267925609754756,0.009883218413342776,0.13594325078407143,0.018480567433740935,7.401486830834377e-16,3.52634025066395,1.1213539026817518,0.44079253133299373,0.017521154729402372
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.125,4,0.5,staggered_magnetization,trotter2,0.48960346904151497,0.01704099453062463,0.013818008905916552,0.00019093737012398915,1.1102230246251565e-15,3.52634025066395,1.1213539026817518,0.44079253133299373,0.017521154729402372
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,staggered_magnetization,exact,0.47256247451089034,0.0,0.0,0.0,4.440892098500626e-16,3.52634025066395,1.1213539026817518,0.22039626566649687,0.004380288682350593
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,staggered_magnetization,trotter1,0.4701052868398158,0.0024571876710745566,0.06910266383535017,0.0047751781491414125,1.8503717077085943e-16,3.52634025066395,1.1213539026817518,0.22039626566649687,0.004380288682350593
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,0.0625,8,0.5,staggered_magnetization,trotter2,0.4768119406880116,0.004249466177121242,0.003438741012467546,1.1824939750826324e-05,0.0,3.52634025066395,1.1213539026817518,0.22039626566649687,0.004380288682350593
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,0.5,2,1.0,staggered_magnetization,exact,0.5726388290403744,0.0,0.0,0.0,0.0,3.0985993144487978,0.66567524325703,1.5492996572243989,0.1664188108142575
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,0.5,2,1.0,staggered_magnetization,trotter1,0.4051892611298484,0.16744956791052606,0.5506891760184256,0.3032585685838526,7.401486830834377e-16,3.0985993144487978,0.66567524325703,1.5492996572243989,0.1664188108142575
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,0.5,2,1.0,staggered_magnetization,trotter2,0.6824937518065665,0.10985492276619202,0.20524450242405531,0.04212530577529805,4.070817756958907e-16,3.0985993144487978,0.66567524325703,1.5492996572243989,0.1664188108142575
