n_sites,backend,split,j,g,m,initial_state,t_target,observable_name,method,metric,slope,prefactor,points
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,total_energy_density,trotter1,observable_error,0.5310672770386442,0.14261141116490905,4
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,total_energy_density,trotter1,state_error,0.9368503572778074,0.9422196814105297,4
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,total_energy_density,trotter2,observable_error,1.8396198307678728,0.5568770416920658,4
3,dense,swapped,1.0,1.0,0.5,neel_x,0.5,total_energy_density,trotter2,state_error,2.0448244613921687,0.9815838863372162,4
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,total_energy_density,trotter1,observable_error,1.4401127232194004,1.316592201322283,4
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,total_energy_density,trotter1,state_error,0.9431999509737282,1.076029274028319,4
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,total_energy_density,trotter2,observable_error,1.9298439834827086,0.5925936252551964,4
3,dense,swapped,1.0,1.0,0.5,neel_x,1.0,total_energy_density,trotter2,state_error,2.0370144760009397,0.8283289368128597,4
3,dense,swapped,1.0,1.0,0.5,uniform_x,0.5,total_energy_density,trotter1,observable_error,0.22608184907707396,0.08718551489242342,4
3,dense,swapped,1.0,1.0,0.5,uniform_x,0.5,total_energy_density,trotter1,state_error,0.9647672152965583,0.7776477644349107,4
3,dense,swapped,1.0,1.0,0.5,uniform_x,0.5,total_energy_density,trotter2,observable_error,1.8523414480966895,0.32000816013698724,4
3,dense,swapped,1.0,1.0,0.5,uniform_x,0.5,total_energy_density,trotter2,state_error,2.062000923287083,0.6985900006239294,4
3,dense,swapped,1.0,1.0,0.5,uniform_x,1.0,total_energy_density,trotter1,observable_error,2.235118178012396,0.5550525006541822,4
3,dense,swapped,1.0,1.0,0.5,uniform_x,1.0,total_energy_density,trotter1,state_error,0.9472770948817146,0.8177424224695592,4
3,dense,swapped,1.0,1.0,0.5,uniform_x,1.0,total_energy_density,trotter2,observable_error,1.9361887524695929,0.42408375963306777,4
3,dense,swapped,1.0,1.0,0.5,uniform_x,1.0,total_energy_density,trotter2,state_error,2.027006873962485,0.6223945547180781,4
