n_sites,backend,split,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.5,1,0.5,h_hop_density,exact,-0.5981667868199164,0.0,0.0,0.0,0.058787454191403965,1.8841001223405958,0.0012183150117852145,0.9420500611702979,0.0003045787529463036
3,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.5,1,0.5,h_hop_density,trotter1,-0.41611444379728446,0.18205234302263196,0.4679911362152701,0.21901570357605948,0.05878745419140415,1.8841001223405958,0.0012183150117852145,0.9420500611702979,0.0003045787529463036
3,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.5,1,0.5,h_hop_density,trotter2,-0.41611444379728446,0.18205234302263196,0.17943279964570333,0.03219612958869511,0.058787454191403965,1.8841001223405958,0.0012183150117852145,0.9420500611702979,0.0003045787529463036
3,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.25,2,0.5,h_hop_density,exact,-0.5981667868199164,0.0,0.0,0.0,0.058787454191403965,1.8841001223405958,0.0012183150117852145,0.47102503058514894,7.61446882365759e-05
3,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.25,2,0.5,h_hop_density,trotter1,-0.561198175767361,0.036968611052555445,0.22062849911502755,0.04867693462174971,0.058787454191404,1.8841001223405958,0.0012183150117852145,0.47102503058514894,7.61446882365759e-05
3,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.25,2,0.5,h_hop_density,trotter2,-0.5611981757673608,0.03696861105255567,0.03661820757239766,0.0013408931258152013,0.05878745419140411,1.8841001223405958,0.0012183150117852145,0.47102503058514894,7.61446882365759e-05
3,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.125,4,0.5,h_hop_density,exact,-0.5981667868199164,0.0,0.0,0.0,0.058787454191403965,1.8841001223405958,0.0012183150117852145,0.23551251529257447,1.9036172059143976e-05
3,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.125,4,0.5,h_hop_density,trotter1,-0.5893430138799397,0.008823772939976715,0.10911321477845973,0.011905693639290282,0.05878745419140419,1.8841001223405958,0.0012183150117852145,0.23551251529257447,1.9036172059143976e-05
3,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.125,4,0.5,h_hop_density,trotter2,-0.5893430138799394,0.008823772939977048,0.008782840980697822,7.713829569222508e-05,0.058787454191404555,1.8841001223405958,0.0012183150117852145,0.23551251529257447,1.9036172059143976e-05
3,dense,swapped,1.0,1.0,0.5,split_a_ground,0.5,0.0625,8,0.5,h_hop_density,exact,-0.5981667868199164,0.0,0.0,0.0,0.058787454191403965,1.8841001223405958,0.0012183150117852145,0.11775625764628724,4.759043014785994e-06
